movie_idx,title,user_idx
200,Schindler's List (1993),24
180,"Close Shave, A (1995)",24
276,Strictly Ballroom (1992),24
569,Some Folks Call It a Sling Blade (1993),24
1270,Cronos (1992),24
68,Mr. Holland's Opus (1995),25
556,Maverick (1994),25
83,"Truth About Cats & Dogs, The (1996)",25
56,"Sound of Music, The (1965)",25
740,Platoon (1986),25
77,Jerry Maguire (1996),25
647,"Time to Kill, A (1996)",25
465,Fried Green Tomatoes (1991),25
435,Pretty Woman (1990),25
159,Jumanji (1995),25
191,Forrest Gump (1994),26
220,Gone with the Wind (1939),26
118,2001: A Space Odyssey (1968),26
492,"Clockwork Orange, A (1971)",26
254,Amadeus (1984),26
235,Nikita (La Femme Nikita) (1990),26
240,One Flew Over the Cuckoo's Nest (1975),26
1020,Forbidden Planet (1956),26
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),26
657,Gandhi (1982),26
501,Bound (1996),27
199,Delicatessen (1991),27
44,Evil Dead II (1987),27
92,"Adventures of Priscilla, Queen of the Desert, The (1994)",27
290,Heavenly Creatures (1994),27
276,Strictly Ballroom (1992),27
1208,Vermin (1998),27
1564,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",27
1456,Infinity (1996),27
1322,Stonewall (1995),27
491,"Full Monty, The (1997)",28
979,"Bronx Tale, A (1993)",28
271,Once Upon a Time in America (1984),28
939,Touch of Evil (1958),28
1026,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",28
732,Kids (1995),28
457,Living in Oblivion (1995),28
1149,Party Girl (1995),28
1126,Night Falls on Manhattan (1997),28
1134,M. Butterfly (1993),28
722,Chungking Express (1994),29
1246,Love & Human Remains (1993),29
1360,Caught (1996),29
1352,"Designated Mourner, The (1997)",29
1536,"Neon Bible, The (1995)",29
1154,Rhyme & Reason (1997),29
1494,Ladybird Ladybird (1994),29
1417,"Visitors, The (Visiteurs, Les) (1993)",29
1346,Twin Town (1997),29
1606,Hana-bi (1997),29
96,Young Frankenstein (1974),30
10,Men in Black (1997),30
289,"English Patient, The (1996)",30
153,Face/Off (1997),30
622,Butch Cassidy and the Sundance Kid (1969),30
979,"Bronx Tale, A (1993)",30
125,Vertigo (1958),30
137,Bonnie and Clyde (1967),30
935,Hercules (1997),30
1343,Welcome To Sarajevo (1997),30
185,12 Angry Men (1957),31
342,M*A*S*H (1970),31
622,Butch Cassidy and the Sundance Kid (1969),31
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),31
920,"Apartment, The (1960)",31
723,"Thin Man, The (1934)",31
729,His Girl Friday (1940),31
428,Bringing Up Baby (1938),31
137,Bonnie and Clyde (1967),31
488,Arsenic and Old Lace (1944),31
389,Babe (1995),32
49,Fargo (1996),32
873,Lone Star (1996),32
189,"Godfather, The (1972)",32
112,"Terminator, The (1984)",32
30,Chasing Amy (1997),32
139,Chasing Amy (1997),32
89,Sense and Sensibility (1995),32
600,Emma (1996),32
289,"English Patient, The (1996)",32
423,Four Weddings and a Funeral (1994),33
740,Platoon (1986),33
235,Nikita (La Femme Nikita) (1990),33
244,Field of Dreams (1989),33
783,"Client, The (1994)",33
669,"Piano, The (1993)",33
465,Fried Green Tomatoes (1991),33
318,Little Women (1994),33
472,Nell (1994),33
1016,Philadelphia (1993),33
541,"Third Man, The (1949)",34
451,Stalingrad (1993),34
1209,Nosferatu a Venezia (1986),34
987,Mrs. Parker and the Vicious Circle (1994),34
1160,"Last Time I Saw Paris, The (1954)",34
248,Kicked in the Head (1997),34
1285,Gabbeh (1996),34
1414,Cosi (1996),34
1510,"Underneath, The (1995)",34
1643,Condition Red (1995),34
172,"Firm, The (1993)",35
33,Sleepless in Seattle (1993),35
161,"Empire Strikes Back, The (1980)",35
311,Aliens (1986),35
145,"Good, The Bad and The Ugly, The (1966)",35
506,Unforgiven (1992),35
177,My Best Friend's Wedding (1997),35
374,"Bridges of Madison County, The (1995)",35
1016,Philadelphia (1993),35
593,"Little Princess, A (1995)",35
662,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",36
1294,"Cry, the Beloved Country (1995)",36
784,"Great Race, The (1965)",36
562,Microcosmos: Le peuple de l'herbe (1996),36
989,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",36
699,8 1/2 (1963),36
1245,Fearless (1993),36
1160,"Last Time I Saw Paris, The (1954)",36
1385,Kim (1950),36
1539,Nina Takes a Lover (1994),36
534,Welcome to the Dollhouse (1995),37
185,12 Angry Men (1957),37
78,North by Northwest (1959),37
174,Casablanca (1942),37
241,"Maltese Falcon, The (1941)",37
225,"Streetcar Named Desire, A (1951)",37
538,Lawrence of Arabia (1962),37
108,Annie Hall (1977),37
58,"Boot, Das (1981)",37
754,"Killing Fields, The (1984)",37
734,Clerks (1994),38
170,Hoop Dreams (1994),38
390,Quiz Show (1994),38
873,Lone Star (1996),38
371,Swingers (1996),38
277,"Wrong Trousers, The (1993)",38
93,This Is Spinal Tap (1984),38
695,Leaving Las Vegas (1995),38
242,"People vs. Larry Flynt, The (1996)",38
333,Shine (1996),38
936,Mr. Smith Goes to Washington (1939),39
359,"Godfather: Part II, The (1974)",39
635,"Day the Earth Stood Still, The (1951)",39
1020,Forbidden Planet (1956),39
110,My Fair Lady (1964),39
108,Annie Hall (1977),39
599,Manhattan (1979),39
1028,"Christmas Carol, A (1938)",39
818,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",39
939,Touch of Evil (1958),39
13,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",40
797,"Basketball Diaries, The (1995)",40
316,Home for the Holidays (1995),40
785,Crooklyn (1994),40
396,With Honors (1994),40
961,Now and Then (1995),40
1282,Stripes (1981),40
1322,Stonewall (1995),40
1598,"Walking Dead, The (1995)",40
1546,Bhaji on the Beach (1993),40
66,To Kill a Mockingbird (1962),41
848,Ponette (1996),41
222,"Celluloid Closet, The (1995)",41
703,What's Love Got to Do with It (1993),41
287,Trees Lounge (1996),41
661,When We Were Kings (1996),41
1452,Bliss (1997),41
1285,Gabbeh (1996),41
1547,Hush (1998),41
1660,Nightwatch (1997),41
931,Immortal Beloved (1994),42
967,Castle Freak (1995),42
1084,Brassed Off (1996),42
1287,"Innocents, The (1961)",42
991,Safe (1995),42
1193,Guilty as Sin (1993),42
996,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",42
653,Dingo (1992),42
1053,"Ballad of Narayama, The (Narayama Bushiko) (1958)",42
857,Losing Isaiah (1995),42
337,Ed Wood (1994),43
250,Glengarry Glen Ross (1992),43
67,Wings of Desire (1987),43
939,Touch of Evil (1958),43
913,Barcelona (1994),43
323,To Die For (1995),43
1088,Little Odessa (1994),43
457,Living in Oblivion (1995),43
1065,"War Room, The (1993)",43
1579,Entertaining Angels: The Dorothy Day Story (1996),43
243,Ulee's Gold (1997),44
255,Afterglow (1997),44
680,Ma vie en rose (My Life in Pink) (1997),44
744,Oscar & Lucinda (1997),44
1398,Dangerous Beauty (1998),44
582,"Kiss Me, Guido (1997)",44
1243,Indian Summer (1996),44
1644,Mat' i syn (1997),44
1632,B. Monkey (1998),44
1651,Sliding Doors (1998),44
694,Some Like It Hot (1959),45
241,"Maltese Falcon, The (1941)",45
982,"Treasure of the Sierra Madre, The (1948)",45
763,Meet Me in St. Louis (1944),45
436,High Noon (1952),45
931,Immortal Beloved (1994),45
183,Flirting With Disaster (1996),45
463,What Happened Was... (1994),45
1344,Beat the Devil (1954),45
1454,Nelly & Monsieur Arnaud (1995),45
75,Copycat (1995),46
217,Blade Runner (1982),46
189,"Godfather, The (1972)",46
351,Reservoir Dogs (1992),46
150,"Abyss, The (1989)",46
73,Grosse Pointe Blank (1997),46
153,Face/Off (1997),46
538,Lawrence of Arabia (1962),46
58,"Boot, Das (1981)",46
808,Shallow Grave (1994),46
106,Muppet Treasure Island (1996),47
363,Home Alone (1990),47
103,Willy Wonka and the Chocolate Factory (1971),47
58,"Boot, Das (1981)",47
657,Gandhi (1982),47
797,"Basketball Diaries, The (1995)",47
931,Immortal Beloved (1994),47
616,Unstrung Heroes (1995),47
1456,Infinity (1996),47
1667,You So Crazy (1994),47
389,Babe (1995),48
220,Gone with the Wind (1939),48
118,2001: A Space Odyssey (1968),48
359,"Godfather: Part II, The (1974)",48
275,"Bridge on the River Kwai, The (1957)",48
154,"Birds, The (1963)",48
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),48
174,Casablanca (1942),48
538,Lawrence of Arabia (1962),48
657,Gandhi (1982),48
170,Hoop Dreams (1994),49
1009,Carlito's Way (1993),49
740,Platoon (1986),49
571,Apocalypse Now (1979),49
111,In the Name of the Father (1993),49
66,To Kill a Mockingbird (1962),49
657,Gandhi (1982),49
160,Cape Fear (1962),49
748,Murder in the First (1995),49
1550,"Beans of Egypt, Maine, The (1994)",49
1173,Amityville 1992: It's About Time (1992),50
439,Amityville: A New Generation (1993),50
1513,Two or Three Things I Know About Her (1966),50
545,Amityville: Dollhouse (1996),50
1609,Underworld (1997),50
481,Denise Calls Up (1995),50
1170,Tetsuo II: Body Hammer (1992),50
1392,Hurricane Streets (1998),50
1512,Legal Deceit (1997),50
1637,Men of Means (1998),50
927,Nadja (1994),51
161,"Empire Strikes Back, The (1980)",51
668,Jungle2Jungle (1997),51
95,Liar Liar (1997),51
85,Bean (1997),51
1114,Othello (1995),51
899,"Beautician and the Beast, The (1997)",51
1288,"Colonel Chabert, Le (1994)",51
1490,Grosse Fatigue (1994),51
1516,Three Lives and Only One Death (1996),51
389,Babe (1995),52
22,Die Hard (1988),52
88,Monty Python's Life of Brian (1979),52
351,Reservoir Dogs (1992),52
150,"Abyss, The (1989)",52
195,Pink Floyd - The Wall (1982),52
338,Bram Stoker's Dracula (1992),52
678,Serial Mom (1994),52
168,Jaws 2 (1978),52
822,Rosencrantz and Guildenstern Are Dead (1990),52
229,Seven (Se7en) (1995),53
908,Belle de jour (1967),53
546,Breakfast at Tiffany's (1961),53
185,12 Angry Men (1957),53
920,"Apartment, The (1960)",53
485,Roman Holiday (1953),53
538,Lawrence of Arabia (1962),53
315,"Crying Game, The (1992)",53
646,Casino (1995),53
1115,"Old Man and the Sea, The (1958)",53
172,"Firm, The (1993)",54
693,Much Ado About Nothing (1993),54
220,Gone with the Wind (1939),54
367,Monty Python and the Holy Grail (1974),54
321,"Princess Bride, The (1987)",54
6,"Hunt for Red October, The (1990)",54
783,"Client, The (1994)",54
230,"Great Escape, The (1963)",54
1028,"Christmas Carol, A (1938)",54
418,Hamlet (1996),54
47,Get Shorty (1995),55
389,Babe (1995),55
22,Die Hard (1988),55
877,Alice in Wonderland (1951),55
1128,Aladdin and the King of Thieves (1996),55
7,"Jungle Book, The (1994)",55
58,"Boot, Das (1981)",55
629,Glory (1989),55
202,Pollyanna (1960),55
593,"Little Princess, A (1995)",55
297,"Usual Suspects, The (1995)",56
408,Braveheart (1995),56
356,GoodFellas (1990),56
361,Psycho (1960),56
307,"Blues Brothers, The (1980)",56
179,Groundhog Day (1993),56
247,Back to the Future (1985),56
166,When Harry Met Sally... (1989),56
329,Raising Arizona (1987),56
240,One Flew Over the Cuckoo's Nest (1975),56
65,Young Guns (1988),57
1294,"Cry, the Beloved Country (1995)",57
476,Clear and Present Danger (1994),57
874,Wyatt Earp (1994),57
912,In the Line of Duty 2 (1987),57
369,Days of Thunder (1990),57
1093,Talking About Sex (1994),57
1536,"Neon Bible, The (1995)",57
962,"Stars Fell on Henrietta, The (1995)",57
1464,Buddy (1997),57
59,Angels and Insects (1995),58
595,Breaking the Waves (1996),58
770,Smilla's Sense of Snow (1997),58
500,Smoke (1995),58
754,"Killing Fields, The (1984)",58
401,"Grifters, The (1990)",58
588,Georgia (1995),58
1245,Fearless (1993),58
661,When We Were Kings (1996),58
1372,Cyclo (1995),58
170,Hoop Dreams (1994),59
390,Quiz Show (1994),59
547,Searching for Bobby Fischer (1993),59
247,Back to the Future (1985),59
623,Sling Blade (1996),59
557,Sneakers (1992),59
111,In the Name of the Father (1993),59
518,William Shakespeare's Romeo and Juliet (1996),59
538,Lawrence of Arabia (1962),59
58,"Boot, Das (1981)",59
235,Nikita (La Femme Nikita) (1990),60
195,Pink Floyd - The Wall (1982),60
263,When the Cats Away (Chacun cherche son chat) (1996),60
180,"Close Shave, A (1995)",60
63,"City of Lost Children, The (1995)",60
779,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",60
517,Koyaanisqatsi (1983),60
843,Once Were Warriors (1994),60
1293,Boy's Life 2 (1997),60
1448,"Magic Hour, The (1998)",60
9,"Remains of the Day, The (1993)",61
0,Kolya (1996),61
522,Shall We Dance? (1996),61
969,Ulee's Gold (1997),61
380,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",61
1269,Fluke (1995),61
395,Kundun (1997),61
1071,Ruby in Paradise (1993),61
1559,A Chef in Love (1996),61
1579,Entertaining Angels: The Dorothy Day Story (1996),61
147,GoldenEye (1995),62
14,Batman Forever (1995),62
834,Ace Ventura: Pet Detective (1994),62
778,So I Married an Axe Murderer (1993),62
945,Weekend at Bernie's (1989),62
253,Star Trek VI: The Undiscovered Country (1991),62
799,Robin Hood: Men in Tights (1993),62
205,"Brady Bunch Movie, The (1995)",62
683,Robin Hood: Prince of Thieves (1991),62
610,How to Make an American Quilt (1995),62
239,"Shawshank Redemption, The (1994)",63
499,True Romance (1993),63
221,"Fish Called Wanda, A (1988)",63
179,Groundhog Day (1993),63
240,One Flew Over the Cuckoo's Nest (1975),63
135,Mary Poppins (1964),63
66,To Kill a Mockingbird (1962),63
154,"Birds, The (1963)",63
186,"Philadelphia Story, The (1940)",63
587,"Sex, Lies, and Videotape (1989)",63
902,"Daytrippers, The (1996)",64
505,"Wild Bunch, The (1969)",64
989,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",64
697,Ran (1985),64
1313,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",64
238,Singin' in the Rain (1952),64
508,Raise the Red Lantern (1991),64
1453,Stalker (1979),64
1360,Caught (1996),64
1532,The Deadly Cure (1996),64
94,Taxi Driver (1976),65
189,"Godfather, The (1972)",65
371,Swingers (1996),65
359,"Godfather: Part II, The (1974)",65
240,One Flew Over the Cuckoo's Nest (1975),65
1076,Nixon (1995),65
460,My Left Foot (1989),65
36,Rear Window (1954),65
183,Flirting With Disaster (1996),65
897,Bread and Chocolate (Pane e cioccolata) (1973),65
451,Stalingrad (1993),66
1003,Cobb (1994),66
419,Faithful (1996),66
1646,They Made Me a Criminal (1939),66
1242,"Very Natural Thing, A (1974)",66
1291,"Walk in the Sun, A (1945)",66
1389,"Cement Garden, The (1993)",66
1162,Madame Butterfly (1995),66
1579,Entertaining Angels: The Dorothy Day Story (1996),66
1677,Mamma Roma (1962),66
156,"Fugitive, The (1993)",67
189,"Godfather, The (1972)",67
254,Amadeus (1984),67
32,"Right Stuff, The (1983)",67
244,Field of Dreams (1989),67
200,Schindler's List (1993),67
58,"Boot, Das (1981)",67
669,"Piano, The (1993)",67
1016,Philadelphia (1993),67
843,Once Were Warriors (1994),67
185,12 Angry Men (1957),68
186,"Philadelphia Story, The (1940)",68
91,"African Queen, The (1951)",68
538,Lawrence of Arabia (1962),68
982,"Treasure of the Sierra Madre, The (1948)",68
230,"Great Escape, The (1963)",68
884,All About Eve (1950),68
965,Rebecca (1940),68
818,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",68
1453,Stalker (1979),68
549,"Mask, The (1994)",69
726,"Aristocats, The (1970)",69
338,Bram Stoker's Dracula (1992),69
116,Mimic (1997),69
104,"Devil's Advocate, The (1997)",69
7,"Jungle Book, The (1994)",69
121,Pump Up the Volume (1990),69
1019,Nine Months (1995),69
155,Cool Runnings (1993),69
947,Up in Smoke (1978),69
133,"Postino, Il (1994)",70
1069,Antonia's Line (1995),70
734,Clerks (1994),70
873,Lone Star (1996),70
148,Big Night (1996),70
420,Rosewood (1997),70
618,"Magnificent Seven, The (1954)",70
643,"Crucible, The (1996)",70
1637,Men of Means (1998),70
1579,Entertaining Angels: The Dorothy Day Story (1996),70
502,Dead Man Walking (1995),71
94,Taxi Driver (1976),71
730,Raging Bull (1980),71
275,"Bridge on the River Kwai, The (1957)",71
695,Leaving Las Vegas (1995),71
242,"People vs. Larry Flynt, The (1996)",71
538,Lawrence of Arabia (1962),71
888,"Deer Hunter, The (1978)",71
561,Cool Hand Luke (1967),71
754,"Killing Fields, The (1984)",71
0,Kolya (1996),72
380,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",72
568,Everyone Says I Love You (1996),72
842,Deconstructing Harry (1997),72
1120,"Sweet Hereafter, The (1997)",72
744,Oscar & Lucinda (1997),72
1078,Four Days in September (1997),72
1534,Wild Reeds (1994),72
1559,A Chef in Love (1996),72
1292,Palmetto (1998),72
220,Gone with the Wind (1939),73
150,"Abyss, The (1989)",73
185,12 Angry Men (1957),73
113,"Shining, The (1980)",73
240,One Flew Over the Cuckoo's Nest (1975),73
258,Duck Soup (1933),73
750,"Big Sleep, The (1946)",73
692,Bride of Frankenstein (1935),73
992,Amateur (1994),73
1579,Entertaining Angels: The Dorothy Day Story (1996),73
427,Donnie Brasco (1997),74
969,Ulee's Gold (1997),74
1375,Paradise Road (1997),74
1084,Brassed Off (1996),74
569,Some Folks Call It a Sling Blade (1993),74
1123,I Shot Andy Warhol (1996),74
128,Get on the Bus (1996),74
1452,Bliss (1997),74
1559,A Chef in Love (1996),74
1417,"Visitors, The (Visiteurs, Les) (1993)",74
618,"Magnificent Seven, The (1954)",75
541,"Third Man, The (1949)",75
697,Ran (1985),75
105,"Quiet Man, The (1952)",75
818,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",75
660,"Manchurian Candidate, The (1962)",75
922,Primary Colors (1998),75
1111,C'est arrivé près de chez vous (1992),75
164,Clockers (1995),75
1583,Harlem (1993),75
471,Apollo 13 (1995),76
309,"Lion King, The (1994)",76
189,"Godfather, The (1972)",76
100,"Wizard of Oz, The (1939)",76
56,"Sound of Music, The (1965)",76
22,Die Hard (1988),76
254,Amadeus (1984),76
244,Field of Dreams (1989),76
57,E.T. the Extra-Terrestrial (1982),76
201,Speed (1994),76
534,Welcome to the Dollhouse (1995),77
189,"Godfather, The (1972)",77
492,"Clockwork Orange, A (1971)",77
571,Apocalypse Now (1979),77
355,Trainspotting (1996),77
333,Shine (1996),77
287,Trees Lounge (1996),77
766,"Band Wagon, The (1953)",77
1558,American Buffalo (1996),77
1293,Boy's Life 2 (1997),77
502,Dead Man Walking (1995),78
133,"Postino, Il (1994)",78
379,Priest (1994),78
203,What's Eating Gilbert Grape (1993),78
254,Amadeus (1984),78
377,Muriel's Wedding (1994),78
657,Gandhi (1982),78
669,"Piano, The (1993)",78
411,Orlando (1993),78
569,Some Folks Call It a Sling Blade (1993),78
497,Lost Highway (1997),79
785,Crooklyn (1994),79
570,She's So Lovely (1997),79
1074,"Hate (Haine, La) (1995)",79
1219,Hard Eight (1996),79
1284,Tom & Viv (1994),79
1246,Love & Human Remains (1993),79
1546,Bhaji on the Beach (1993),79
1450,"Show, The (1995)",79
1640,"Glass Shield, The (1994)",79
329,Raising Arizona (1987),80
135,Mary Poppins (1964),80
877,Alice in Wonderland (1951),80
50,Fantasia (1940),80
241,"Maltese Falcon, The (1941)",80
454,East of Eden (1955),80
905,Around the World in 80 Days (1956),80
137,Bonnie and Clyde (1967),80
618,"Magnificent Seven, The (1954)",80
230,"Great Escape, The (1963)",80
