movieId,movie_idx,title,release_date,imdb_url
26,64,"Brothers McMullen, The (1995)",01-Jan-1995,"http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)"
27,589,Bad Boys (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995)
28,471,Apollo 13 (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Apollo%2013%20(1995)
29,14,Batman Forever (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Batman%20Forever%20(1995)
30,908,Belle de jour (1967),01-Jan-1967,http://us.imdb.com/M/title-exact?Belle%20de%20jour%20(1967)
31,864,Crimson Tide (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Crimson%20Tide%20(1995)
32,38,Crumb (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Crumb%20(1994)
33,249,Desperado (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Desperado%20(1995)
34,775,"Doom Generation, The (1995)",01-Jan-1995,"http://us.imdb.com/M/title-exact?Doom%20Generation,%20The%20(1995)"
35,1279,Free Willy 2: The Adventure Home (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Free%20Willy%202:%20The%20Adventure%20Home%20(1995)
36,724,Mad Love (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Mad%20Love%20(1995)
37,927,Nadja (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Nadja%20(1994)
38,543,"Net, The (1995)",01-Jan-1995,"http://us.imdb.com/M/title-exact?Net,%20The%20(1995)"
39,462,Strange Days (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Strange%20Days%20(1995)
40,13,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",01-Jan-1995,"http://us.imdb.com/M/title-exact?To%20Wong%20Foo,%20Thanks%20for%20Everything!%20Julie%20Newmar%20(1995)"
41,953,Billy Madison (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Billy%20Madison%20(1995)
42,734,Clerks (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Clerks%20(1994)
43,615,Disclosure (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Disclosure%20(1994)
44,469,Dolores Claiborne (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Dolores%20Claiborne%20(1994)
45,942,Eat Drink Man Woman (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Yinshi%20Nan%20Nu%20(1994)
46,1211,Exotica (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Exotica%20(1994)
47,337,Ed Wood (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Ed%20Wood%20(1994)
48,170,Hoop Dreams (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Hoop%20Dreams%20(1994)
49,447,I.Q. (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?I.Q.%20(1994)
50,357,Star Wars (1977),01-Jan-1977,http://us.imdb.com/M/title-exact?Star%20Wars%20(1977)
51,3,Legends of the Fall (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Legends%20of%20the%20Fall%20(1994)
52,473,"Madness of King George, The (1994)",01-Jan-1994,"http://us.imdb.com/M/title-exact?Madness%20of%20King%20George,%20The%20(1994)"
53,527,Natural Born Killers (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Natural%20Born%20Killers%20(1994)
54,79,Outbreak (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Outbreak%20(1995)
55,399,"Professional, The (1994)",01-Jan-1994,http://us.imdb.com/Title?L%E9on+(1994)
56,216,Pulp Fiction (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994)
57,379,Priest (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Priest%20(1994)
58,390,Quiz Show (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Quiz%20Show%20(1994)
59,574,Three Colors: Red (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Czerwony%20(1994)
60,330,Three Colors: Blue (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Niebieski%20(1993)
61,169,Three Colors: White (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Bialy%20(1994)
62,296,Stargate (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Stargate%20(1994)
63,820,"Santa Clause, The (1994)",01-Jan-1994,"http://us.imdb.com/M/title-exact?Santa%20Clause,%20The%20(1994)"
64,239,"Shawshank Redemption, The (1994)",01-Jan-1994,"http://us.imdb.com/M/title-exact?Shawshank%20Redemption,%20The%20(1994)"
65,203,What's Eating Gilbert Grape (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?What's%20Eating%20Gilbert%20Grape%20(1993)
66,291,While You Were Sleeping (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?While%20You%20Were%20Sleeping%20(1995)
67,834,Ace Ventura: Pet Detective (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Ace%20Ventura:%20Pet%20Detective%20(1994)
68,208,"Crow, The (1994)",01-Jan-1994,"http://us.imdb.com/M/title-exact?Crow,%20The%20(1994)"
69,191,Forrest Gump (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Forrest%20Gump%20(1994)
70,423,Four Weddings and a Funeral (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Four%20Weddings%20and%20a%20Funeral%20(1994)
71,309,"Lion King, The (1994)",01-Jan-1994,"http://us.imdb.com/M/title-exact?Lion%20King,%20The%20(1994)"
72,549,"Mask, The (1994)",01-Jan-1994,"http://us.imdb.com/M/title-exact?Mask,%20The%20(1994)"
73,556,Maverick (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Maverick%20(1994)
74,940,Faster Pussycat! Kill! Kill! (1965),01-Jan-1965,http://us.imdb.com/M/title-exact?Faster%20Pussycat!%20Kill!%20Kill!%20(1965)
75,1324,Brother Minister: The Assassination of Malcolm X (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Brother%20Minister:%20The%20Assassination%20of%20Malcolm%20X%20(1994)
76,1009,Carlito's Way (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?Carlito's%20Way%20(1993)
77,172,"Firm, The (1993)",01-Jan-1993,"http://us.imdb.com/M/title-exact?Firm,%20The%20(1993)"
78,313,Free Willy (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?Free%20Willy%20(1993)
79,156,"Fugitive, The (1993)",01-Jan-1993,"http://us.imdb.com/M/title-exact?Fugitive,%20The%20(1993)"
80,328,Hot Shots! Part Deux (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?Hot%20Shots!%20Part%20Deux%20(1993)
81,405,"Hudsucker Proxy, The (1994)",01-Jan-1994,"http://us.imdb.com/M/title-exact?Hudsucker%20Proxy,%20The%20(1994)"
82,231,Jurassic Park (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?Jurassic%20Park%20(1993)
83,693,Much Ado About Nothing (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?Much%20Ado%20About%20Nothing%20(1993)
84,984,Robert A. Heinlein's The Puppet Masters (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Robert%20A.%20Heinlein's%20The%20Puppet%20Masters%20(1994)
85,591,"Ref, The (1994)",01-Jan-1994,"http://us.imdb.com/M/title-exact?Ref,%20The%20(1994)"
86,9,"Remains of the Day, The (1993)",01-Jan-1993,"http://us.imdb.com/M/title-exact?Remains%20of%20the%20Day,%20The%20(1993)"
87,547,Searching for Bobby Fischer (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?Searching%20for%20Bobby%20Fischer%20(1993)
88,33,Sleepless in Seattle (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?Sleepless%20in%20Seattle%20(1993)
89,217,Blade Runner (1982),01-Jan-1982,http://us.imdb.com/M/title-exact?Blade%20Runner%20(1982)
90,778,So I Married an Axe Murderer (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?So%20I%20Married%20an%20Axe%20Murderer%20(1993)
91,529,"Nightmare Before Christmas, The (1993)",01-Jan-1993,"http://us.imdb.com/M/title-exact?Nightmare%20Before%20Christmas,%20The%20(1993)"
92,499,True Romance (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?True%20Romance%20(1993)
93,534,Welcome to the Dollhouse (1995),24-May-1996,http://us.imdb.com/Title?Welcome+to+the+Dollhouse+(1995)
94,363,Home Alone (1990),01-Jan-1990,http://us.imdb.com/M/title-exact?Home%20Alone%20(1990)
95,26,Aladdin (1992),01-Jan-1992,http://us.imdb.com/M/title-exact?Aladdin%20(1992)
96,102,Terminator 2: Judgment Day (1991),01-Jan-1991,http://us.imdb.com/M/title-exact?Terminator%202:%20Judgment%20Day%20(1991)
97,320,Dances with Wolves (1990),01-Jan-1990,http://us.imdb.com/M/title-exact?Dances%20with%20Wolves%20(1990)
98,31,"Silence of the Lambs, The (1991)",01-Jan-1991,"http://us.imdb.com/M/title-exact?Silence%20of%20the%20Lambs,%20The%20(1991)"
99,480,Snow White and the Seven Dwarfs (1937),01-Jan-1937,http://us.imdb.com/M/title-exact?Snow%20White%20and%20the%20Seven%20Dwarfs%20(1937)
100,49,Fargo (1996),14-Feb-1997,http://us.imdb.com/M/title-exact?Fargo%20(1996)
101,796,Heavy Metal (1981),08-Mar-1981,http://us.imdb.com/M/title-exact?Heavy%20Metal%20(1981)
102,726,"Aristocats, The (1970)",01-Jan-1970,"http://us.imdb.com/M/title-exact?Aristocats,%20The%20(1970)"
103,776,All Dogs Go to Heaven 2 (1996),29-Mar-1996,http://us.imdb.com/M/title-exact?All%20Dogs%20Go%20to%20Heaven%202%20(1996)
104,917,Theodore Rex (1995),29-Mar-1996,http://us.imdb.com/M/title-exact?Theodore%20Rex%20(1995)
105,555,Sgt. Bilko (1996),29-Mar-1996,http://us.imdb.com/M/title-exact?Sgt.%20Bilko%20(1996)
106,190,Diabolique (1996),01-Jan-1996,http://us.imdb.com/M/title-exact?Diabolique%20(1996)
107,566,Moll Flanders (1996),14-Jun-1996,http://us.imdb.com/M/title-exact?Moll%20Flanders%20(1996)
108,1006,Kids in the Hall: Brain Candy (1996),12-Apr-1996,http://us.imdb.com/M/title-exact?Kids%20in%20the%20Hall:%20Brain%20Candy%20(1996)
109,198,Mystery Science Theater 3000: The Movie (1996),19-Apr-1996,http://us.imdb.com/M/title-exact?Mystery%20Science%20Theater%203000:%20The%20Movie%20(1996)
110,521,Operation Dumbo Drop (1995),01-Jan-1995,http://us.imdb.com/M/title-exact?Operation%20Dumbo%20Drop%20(1995)
111,83,"Truth About Cats & Dogs, The (1996)",26-Apr-1996,"http://us.imdb.com/M/title-exact?Truth%20About%20Cats%20&%20Dogs,%20The%20(1996)"
112,1190,Flipper (1996),10-May-1996,http://us.imdb.com/M/title-exact?Flipper%20(1996)
113,662,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",19-Apr-1996,"http://us.imdb.com/M/title-exact?Hussard%20sur%20le%20toit,%20Le%20(1995)"
114,612,Wallace & Gromit: The Best of Aardman Animation (1996),05-Apr-1996,http://us.imdb.com/Title?Wallace+%26+Gromit%3A+The+Best+of+Aardman+Animation+(1996)
115,721,"Haunted World of Edward D. Wood Jr., The (1995)",26-Apr-1996,"http://us.imdb.com/Title?Haunted+World+of+Edward+D.+Wood+Jr.,+The+(1995)"
116,665,Cold Comfort Farm (1995),23-Apr-1996,http://us.imdb.com/M/title-exact?Cold%20Comfort%20Farm%20(1995)%20(TV)
117,140,"Rock, The (1996)",07-Jun-1996,"http://us.imdb.com/M/title-exact?Rock,%20The%20(1996)"
118,23,Twister (1996),10-May-1996,http://us.imdb.com/M/title-exact?Twister%20(1996)
119,1135,Maya Lin: A Strong Clear Vision (1994),01-Jan-1994,http://us.imdb.com/M/title-exact?Maya%20Lin:%20A%20Strong%20Clear%20Vision%20(1994)
120,467,Striptease (1996),28-Jun-1996,http://us.imdb.com/M/title-exact?Striptease%20(1996)
121,403,Independence Day (ID4) (1996),03-Jul-1996,http://us.imdb.com/M/title-exact?Independence%20Day%20(1996)
122,510,"Cable Guy, The (1996)",14-Jun-1996,"http://us.imdb.com/M/title-exact?Cable%20Guy,%20The%20(1996)"
123,861,"Frighteners, The (1996)",19-Jul-1996,"http://us.imdb.com/M/title-exact?Frighteners,%20The%20(1996)"
124,873,Lone Star (1996),21-Jun-1996,http://us.imdb.com/M/title-exact?Lone%20Star%20(1996)
125,552,Phenomenon (1996),29-Jun-1996,http://us.imdb.com/M/title-exact?Phenomenon%20(1996)
126,387,"Spitfire Grill, The (1996)",06-Sep-1996,"http://us.imdb.com/M/title-exact?Spitfire%20Grill,%20The%20(1996)"
127,189,"Godfather, The (1972)",01-Jan-1972,"http://us.imdb.com/M/title-exact?Godfather,%20The%20(1972)"
128,444,Supercop (1992),26-Jul-1996,http://us.imdb.com/M/title-exact?Police%20Story%20III:%20Supercop%20(1992)
129,501,Bound (1996),04-Oct-1996,http://us.imdb.com/M/title-exact?Bound%20(1996)
130,1316,Kansas City (1996),16-Aug-1996,http://us.imdb.com/M/title-exact?Kansas%20City%20(1996)
131,546,Breakfast at Tiffany's (1961),01-Jan-1961,http://us.imdb.com/M/title-exact?Breakfast%20at%20Tiffany's%20(1961)
132,100,"Wizard of Oz, The (1939)",01-Jan-1939,"http://us.imdb.com/M/title-exact?Wizard%20of%20Oz,%20The%20(1939)"
133,220,Gone with the Wind (1939),01-Jan-1939,http://us.imdb.com/M/title-exact?Gone%20with%20the%20Wind%20(1939)
134,260,Citizen Kane (1941),01-Jan-1941,http://us.imdb.com/M/title-exact?Citizen%20Kane%20(1941)
135,118,2001: A Space Odyssey (1968),01-Jan-1968,http://us.imdb.com/M/title-exact?2001:%20A%20Space%20Odyssey%20(1968)
136,936,Mr. Smith Goes to Washington (1939),01-Jan-1939,http://us.imdb.com/M/title-exact?Mr.%20Smith%20Goes%20to%20Washington%20(1939)
137,148,Big Night (1996),20-Sep-1996,http://us.imdb.com/M/title-exact?Big%20Night%20(1996)
138,598,D3: The Mighty Ducks (1996),04-Oct-1996,http://us.imdb.com/M/title-exact?D3:%20The%20Mighty%20Ducks%20(1996)
139,831,"Love Bug, The (1969)",01-Jan-1969,"http://us.imdb.com/M/title-exact?Love%20Bug,%20The%20(1969)"
140,122,Homeward Bound: The Incredible Journey (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?Homeward%20Bound:%20The%20Incredible%20Journey%20(1993)
141,218,"20,000 Leagues Under the Sea (1954)",01-Jan-1954,"http://us.imdb.com/M/title-exact?20,000%20Leagues%20Under%20the%20Sea%20(1954)"
142,385,Bedknobs and Broomsticks (1971),01-Jan-1971,http://us.imdb.com/M/title-exact?Bedknobs%20and%20Broomsticks%20(1971)
143,56,"Sound of Music, The (1965)",01-Jan-1965,"http://us.imdb.com/M/title-exact?Sound%20of%20Music,%20The%20(1965)"
144,22,Die Hard (1988),01-Jan-1988,http://us.imdb.com/M/title-exact?Die%20Hard%20(1988)
145,215,"Lawnmower Man, The (1992)",01-Jan-1992,"http://us.imdb.com/M/title-exact?Lawnmower%20Man,%20The%20(1992)"
146,224,Unhook the Stars (1996),30-Oct-1996,http://us.imdb.com/M/title-exact?Unhook%20the%20Stars%20(1996)
147,452,"Long Kiss Goodnight, The (1996)",05-Oct-1996,"http://us.imdb.com/M/title-exact?Long%20Kiss%20Goodnight,%20The%20(1996)"
148,577,"Ghost and the Darkness, The (1996)",11-Oct-1996,"http://us.imdb.com/M/title-exact?Ghost%20and%20the%20Darkness,%20The%20(1996)"
149,870,Jude (1996),01-Nov-1996,http://us.imdb.com/M/title-exact?Jude%20(1996)
150,371,Swingers (1996),18-Oct-1996,http://us.imdb.com/M/title-exact?Swingers%20(1996)
151,103,Willy Wonka and the Chocolate Factory (1971),01-Jan-1971,http://us.imdb.com/M/title-exact?Willy%20Wonka%20and%20the%20Chocolate%20Factory%20(1971)
152,503,Sleeper (1973),01-Jan-1973,http://us.imdb.com/M/title-exact?Sleeper%20(1973)
153,221,"Fish Called Wanda, A (1988)",01-Jan-1988,"http://us.imdb.com/M/title-exact?Fish%20Called%20Wanda,%20A%20(1988)"
154,88,Monty Python's Life of Brian (1979),01-Jan-1979,http://us.imdb.com/M/title-exact?Life%20of%20Brian%20(1979)
155,526,Dirty Dancing (1987),01-Jan-1987,http://us.imdb.com/M/title-exact?Dirty%20Dancing%20(1987)
156,351,Reservoir Dogs (1992),01-Jan-1992,http://us.imdb.com/M/title-exact?Reservoir%20Dogs%20(1992)
157,740,Platoon (1986),01-Jan-1986,http://us.imdb.com/M/title-exact?Platoon%20(1986)
158,945,Weekend at Bernie's (1989),01-Jan-1989,http://us.imdb.com/M/title-exact?Weekend%20at%20Bernie's%20(1989)
159,895,Basic Instinct (1992),01-Jan-1992,http://us.imdb.com/M/title-exact?Basic%20Instinct%20(1992)
160,250,Glengarry Glen Ross (1992),01-Jan-1992,http://us.imdb.com/M/title-exact?Glengarry%20Glen%20Ross%20(1992)
161,456,Top Gun (1986),01-Jan-1986,http://us.imdb.com/M/title-exact?Top%20Gun%20(1986)
162,540,On Golden Pond (1981),01-Jan-1981,http://us.imdb.com/M/title-exact?On%20Golden%20Pond%20(1981)
163,303,"Return of the Pink Panther, The (1974)",01-Jan-1974,"http://us.imdb.com/M/title-exact?Return%20of%20the%20Pink%20Panther,%20The%20(1974)"
164,150,"Abyss, The (1989)",01-Jan-1989,"http://us.imdb.com/M/title-exact?Abyss,%20The%20(1989)"
165,71,Jean de Florette (1986),01-Jan-1986,http://us.imdb.com/M/title-exact?Jean%20de%20Florette%20(1986)
166,638,Manon of the Spring (Manon des sources) (1986),01-Jan-1986,http://us.imdb.com/M/title-exact?Manon%20des%20sources%20(1986)
167,817,Private Benjamin (1980),01-Jan-1980,http://us.imdb.com/M/title-exact?Private%20Benjamin%20(1980)
168,367,Monty Python and the Holy Grail (1974),01-Jan-1974,http://us.imdb.com/M/title-exact?Monty%20Python%20and%20the%20Holy%20Grail%20(1974)
169,277,"Wrong Trousers, The (1993)",01-Jan-1993,"http://us.imdb.com/M/title-exact?Wrong%20Trousers,%20The%20(1993)"
170,856,Cinema Paradiso (1988),01-Jan-1988,http://us.imdb.com/M/title-exact?Nuovo%20cinema%20Paradiso%20(1988)
171,199,Delicatessen (1991),01-Jan-1991,http://us.imdb.com/M/title-exact?Delicatessen%20(1991)
172,161,"Empire Strikes Back, The (1980)",01-Jan-1980,"http://us.imdb.com/M/title-exact?Empire%20Strikes%20Back,%20The%20(1980)"
173,321,"Princess Bride, The (1987)",01-Jan-1987,"http://us.imdb.com/M/title-exact?Princess%20Bride,%20The%20(1987)"
174,101,Raiders of the Lost Ark (1981),01-Jan-1981,http://us.imdb.com/M/title-exact?Raiders%20of%20the%20Lost%20Ark%20(1981)
175,288,Brazil (1985),01-Jan-1985,http://us.imdb.com/M/title-exact?Brazil%20(1985)
176,311,Aliens (1986),01-Jan-1986,http://us.imdb.com/M/title-exact?Aliens%20(1986)
177,145,"Good, The Bad and The Ugly, The (1966)",01-Jan-1966,"http://us.imdb.com/M/title-exact?Buono,%20il%20brutto,%20il%20cattivo,%20Il%20(1966)"
178,185,12 Angry Men (1957),01-Jan-1957,http://us.imdb.com/M/title-exact?12%20Angry%20Men%20(1957)
179,492,"Clockwork Orange, A (1971)",01-Jan-1971,"http://us.imdb.com/M/title-exact?Clockwork%20Orange,%20A%20(1971)"
180,571,Apocalypse Now (1979),01-Jan-1979,http://us.imdb.com/M/title-exact?Apocalypse%20Now%20(1979)
181,52,Return of the Jedi (1983),14-Mar-1997,http://us.imdb.com/M/title-exact?Return%20of%20the%20Jedi%20(1983)
182,356,GoodFellas (1990),01-Jan-1990,http://us.imdb.com/M/title-exact?GoodFellas%20(1990)
183,256,Alien (1979),01-Jan-1979,http://us.imdb.com/M/title-exact?Alien%20(1979)
184,373,Army of Darkness (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?Army%20of%20Darkness%20(1993)
185,361,Psycho (1960),01-Jan-1960,http://us.imdb.com/M/title-exact?Psycho%20(1960)
186,307,"Blues Brothers, The (1980)",01-Jan-1980,"http://us.imdb.com/M/title-exact?Blues%20Brothers,%20The%20(1980)"
187,359,"Godfather: Part II, The (1974)",01-Jan-1974,"http://us.imdb.com/M/title-exact?Godfather:%20Part%20II,%20The%20(1974)"
188,317,Full Metal Jacket (1987),01-Jan-1987,http://us.imdb.com/M/title-exact?Full%20Metal%20Jacket%20(1987)
189,236,"Grand Day Out, A (1992)",01-Jan-1992,"http://us.imdb.com/M/title-exact?Grand%20Day%20Out,%20A%20(1992)"
190,482,Henry V (1989),01-Jan-1989,http://us.imdb.com/M/title-exact?Henry%20V%20(1989)
191,254,Amadeus (1984),01-Jan-1984,http://us.imdb.com/M/title-exact?Amadeus%20(1984)
192,730,Raging Bull (1980),01-Jan-1980,http://us.imdb.com/M/title-exact?Raging%20Bull%20(1980)
193,32,"Right Stuff, The (1983)",01-Jan-1983,"http://us.imdb.com/M/title-exact?Right%20Stuff,%20The%20(1983)"
194,34,"Sting, The (1973)",01-Jan-1973,"http://us.imdb.com/M/title-exact?Sting,%20The%20(1973)"
195,112,"Terminator, The (1984)",01-Jan-1984,"http://us.imdb.com/M/title-exact?Terminator,%20The%20(1984)"
196,53,Dead Poets Society (1989),01-Jan-1989,http://us.imdb.com/M/title-exact?Dead%20Poets%20Society%20(1989)
197,273,"Graduate, The (1967)",01-Jan-1967,"http://us.imdb.com/M/title-exact?Graduate,%20The%20(1967)"
198,235,Nikita (La Femme Nikita) (1990),01-Jan-1990,http://us.imdb.com/M/title-exact?Nikita%20(1990)
199,275,"Bridge on the River Kwai, The (1957)",01-Jan-1957,"http://us.imdb.com/M/title-exact?Bridge%20on%20the%20River%20Kwai,%20The%20(1957)"
200,113,"Shining, The (1980)",01-Jan-1980,"http://us.imdb.com/M/title-exact?Shining,%20The%20(1980)"
201,44,Evil Dead II (1987),01-Jan-1987,http://us.imdb.com/M/title-exact?Evil%20Dead%20II%20(1987)
202,179,Groundhog Day (1993),01-Jan-1993,http://us.imdb.com/M/title-exact?Groundhog%20Day%20(1993)
203,506,Unforgiven (1992),01-Jan-1992,http://us.imdb.com/M/title-exact?Unforgiven%20(1992)
204,247,Back to the Future (1985),01-Jan-1985,http://us.imdb.com/M/title-exact?Back%20to%20the%20Future%20(1985)
205,725,Patton (1970),01-Jan-1970,http://us.imdb.com/M/title-exact?Patton%20(1970)
206,292,Akira (1988),01-Jan-1988,http://us.imdb.com/M/title-exact?Akira%20(1988)
207,690,Cyrano de Bergerac (1990),01-Jan-1990,http://us.imdb.com/M/title-exact?Cyrano%20de%20Bergerac%20(1990)
208,96,Young Frankenstein (1974),01-Jan-1974,http://us.imdb.com/M/title-exact?Young%20Frankenstein%20(1974)
209,93,This Is Spinal Tap (1984),01-Jan-1984,http://us.imdb.com/M/title-exact?This%20Is%20Spinal%20Tap%20(1984)
210,347,Indiana Jones and the Last Crusade (1989),01-Jan-1989,http://us.imdb.com/M/title-exact?Indiana%20Jones%20and%20the%20Last%20Crusade%20(1989)
211,342,M*A*S*H (1970),01-Jan-1970,http://us.imdb.com/M/title-exact?MASH%20(1970)
212,262,"Unbearable Lightness of Being, The (1988)",01-Jan-1988,"http://us.imdb.com/M/title-exact?Unbearable%20Lightness%20of%20Being,%20The%20(1988)"
213,567,"Room with a View, A (1986)",01-Jan-1986,"http://us.imdb.com/M/title-exact?Room%20with%20a%20View,%20A%20(1986)"
214,195,Pink Floyd - The Wall (1982),01-Jan-1982,http://us.imdb.com/M/title-exact?Pink%20Floyd%20-%20The%20Wall%20(1982)
215,244,Field of Dreams (1989),01-Jan-1989,http://us.imdb.com/M/title-exact?Field%20of%20Dreams%20(1989)
216,166,When Harry Met Sally... (1989),01-Jan-1989,http://us.imdb.com/M/title-exact?When%20Harry%20Met%20Sally...%20(1989)
217,338,Bram Stoker's Dracula (1992),01-Jan-1992,http://us.imdb.com/M/title-exact?Bram%20Stoker's%20Dracula%20(1992)
218,211,Cape Fear (1991),01-Jan-1991,http://us.imdb.com/M/title-exact?Cape%20Fear%20(1991)
219,61,"Nightmare on Elm Street, A (1984)",01-Jan-1984,"http://us.imdb.com/M/title-exact?Nightmare%20on%20Elm%20Street,%20A%20(1984)"
220,176,"Mirror Has Two Faces, The (1996)",15-Nov-1996,"http://us.imdb.com/M/title-exact?Mirror%20Has%20Two%20Faces,%20The%20(1996)"
221,595,Breaking the Waves (1996),15-Nov-1996,http://us.imdb.com/M/title-exact?Breaking%20the%20Waves%20(1996)
222,12,Star Trek: First Contact (1996),22-Nov-1996,http://us.imdb.com/M/title-exact?Star%20Trek:%20First%20Contact%20(1996)
223,623,Sling Blade (1996),22-Nov-1996,http://us.imdb.com/M/title-exact?Sling%20Blade%20(1996)
